Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
DRC,,Assortment,Burgundy,,1999,9L,1,86575.5,ex-VAT,OWC
Salon,,Mesnil,Champagne,White,2002,75cl,6,891.99,ex-VAT,OWC
Armand Rousseau,,Chambertin,Burgundy,Red,2005,75cl,4,3935.25,ex-VAT,Loose
Philipponnat,,Clos des Goisses,Champagne,White,2008,1.5L,1,498.4649999999999,ex-VAT,GB
Coche Dury,,Meursault Blanc,Burgundy,White,2008,75cl,1,1154.34,ex-VAT,Loose
Francois Lamarche,,Grande Rue,Burgundy,Red,2016,75cl,24,341.055,ex-VAT,OWC
Domaine Dujac,,Clos Saint Denis,Burgundy,Red,2003,75cl,5,1049.3999999999999,ex-VAT,Loose
Domaine Dujac,,Clos Saint Denis,Burgundy,Red,2003,75cl,1,1049.3999999999999,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1976,75cl,5,1469.16,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1979,75cl,11,1731.5100000000002,ex-VAT,Loose
Screaming Eagle,,,California,Red,2013,75cl,3,2308.68,ex-VAT,OWC
DRC,,La Tache,Burgundy,Red,1995,75cl,3,4459.95,ex-VAT,Loose
Domaine Dujac,,Clos Roche,Burgundy,Red,2011,1.5L,3,1259.28,ex-VAT,OWC
Lafite Rothschild,,,Bordeaux,Red,1982,1.5L,1,3935.25,ex-VAT,Loose
Ausone,,,Bordeaux,Red,2000,75cl,10,787.05,ex-VAT,Loose
Philipponnat,,Clos des Goisses,Champagne,White,2008,75cl,42,209.88,ex-VAT,OC
Joseph Roty,,Charmes Chambertin Tres Vv,Burgundy,Red,2014,75cl,12,283.33799999999997,ex-VAT,OC
Comte Vogue,,Musigny Vv,Burgundy,Red,2015,75cl,3,629.64,ex-VAT,OWC
Domaine Leroy,,Richebourg,Burgundy,Red,2009,75cl,3,8132.85,ex-VAT,OWC
Krug,,Clos du Mesnil,Champagne,White,2002,75cl,26,1574.1,ex-VAT,OWC
Lucien Le Moine,,Montrachet,Burgundy,White,2015,75cl,6,944.46,ex-VAT,OC
Louis Roederer,,Cristal,Champagne,White,2009,1.5L,15,472.23,ex-VAT,GB_OC
Louis Roederer,,Cristal,Champagne,White,2009,1.5L,5,472.23,ex-VAT,OC
Louis Roederer,,Cristal,Champagne,White,2009,1.5L,1,419.76,ex-VAT,OWC
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,2005,75cl,6,1416.69,ex-VAT,OWC
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,2005,75cl,12,1416.69,ex-VAT,OWC
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,2008,75cl,6,1259.28,ex-VAT,OWC
Domaine Leflaive,,Chevalier Montrachet,Burgundy,White,2009,75cl,12,1364.22,ex-VAT,OWC
Domaine Leflaive,,Batard Montrachet,Burgundy,White,2009,75cl,12,944.46,ex-VAT,OWC
Petrus,,,Bordeaux,Red,1982,75cl,3,3358.08,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1982,75cl,1,3253.1399999999994,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1982,75cl,2,3567.96,ex-VAT,Loose
Domaine Leroy,,Richebourg,Burgundy,Red,2007,75cl,1,7345.8,ex-VAT,Loose
Domaine Leroy,,Richebourg,Burgundy,Red,2007,75cl,1,7345.8,ex-VAT,Loose
Krug,,Clos du Mesnil,Champagne,White,1983,75cl,2,2098.7999999999997,ex-VAT,OWC
Lafite Rothschild,,,Bordeaux,Red,1981,75cl,1,472.23,ex-VAT,Loose
Margaux,,,Bordeaux,Red,1979,75cl,4,330.561,ex-VAT,Loose
